Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=111, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 13:56:11.066 +0800 CST true}
  -> Host: ID=119, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 13:56:11.011 +0800 CST true}
  -> Host: ID=127, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:37.704 +0800 CST true}
  -> Host: ID=135, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:37.501 +0800 CST true}
  -> Host: ID=143, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:37.424 +0800 CST true}
  -> Host: ID=151, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:37.301 +0800 CST true}
  -> Host: ID=159, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:37.189 +0800 CST true}
  -> Host: ID=167, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:37.093 +0800 CST true}
  -> Host: ID=175, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:36.804 +0800 CST true}
  -> Host: ID=183, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:36.691 +0800 CST true}
  -> Host: ID=191, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:36.558 +0800 CST true}
  -> Host: ID=199, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:36.437 +0800 CST true}
  -> Host: ID=207, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:19:36.324 +0800 CST true}
  -> Host: ID=215, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:11.075 +0800 CST true}
  -> Host: ID=223, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.941 +0800 CST true}
  -> Host: ID=231, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.707 +0800 CST true}
  -> Host: ID=239, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.513 +0800 CST true}
  -> Host: ID=247, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.408 +0800 CST true}
  -> Host: ID=255, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.284 +0800 CST true}
  -> Host: ID=263, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.166 +0800 CST true}
  -> Host: ID=271, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 14:30:10.045 +0800 CST true}
  -> Host: ID=279, Name=ACC1, MID=2, HostID=10778, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=287, Name=ACC1, MID=2, HostID=10778, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=295, Name=ACC1, MID=2, HostID=10778, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
DUPLICATE GROUP: mid:2-hostid:10084 count: 37
